Kung Fu|Nintendo|NES-SX-USA|E
Kung-Fu Heroes|Culture Brain|NES-CE-USA|C
L'Empereur|Koei|NES-QV-USA|B
Laser Invasion|Konami|NES-8G-USA|B-
Last Action Hero|Imagesoft|NES-LA-USA|B+
Last Ninja, The|Jaleco|NES-J7-USA|B-
Last Starfighter, The|Mindscape|NES-LM-USA|C+
Lee Trevino's Fighting Golf|SNK|NES-FI-USA|C
Legacy of the Wizard|Broderbund|NES-LC-USA|C
Legend of Kage, The|Taito|NES-KA-USA|C-
Legendary Wings|Capcom|NES-LE-USA|B
Legends of the Diamond|Bandai|NES-8L-USA|B+
Lemmings|Sunsoft|NES-LG-USA|B-
Lethal Weapon|Ocean|NES-LY-USA|B
Life Force|Konami|NES-LF-USA|C
Linus Spacehead's Cosmic Crusade (gold)|Camerica|Unlicensed|B
Linus Spacehead's Cosmic Crusade (Aladdin Cart)|Camerica|Unlicensed|A+
Little League Baseball|SNK|NES-KQ-USA|B-
Little Mermaid, The|Capcom|NES-3U-USA|B
Little Mermaid, The (identical label)|Capcom|NES-3U-USA-1|B
Little Nemo the Dream Master|Capcom|NES-LN-USA|B+
Little Ninja Brothers|Culture Brain|NES-C2-USA|C
Little Samson|Taito|NES-LT-USA|B
Lode Runner|Broderbund|NES-LO-USA|B
Lone Ranger, The|Konami|NES-6L-USA|B-
Loopz|Mindscape|NES-L8-USA|B+
Low G Man: The Low Gravity Man|Taxan|NES-L7-USA|C
Lunar Pool|FCI|NES-LP-USA|C+
M.C. Kids|Virgin|NES-4Q-USA|C+
M.U.L.E.|Mindscape|NES-L6-USA|C+
M.U.S.C.L.E.: Tag Team Match|Bandai|NES-MS-USA|B-
Mach Rider|Nintendo|none|C-
Mach Rider|Nintendo|NES-MR-USA|C-
Mad Max|Mindscape|NES-3M-USA|C+
Mafat Conspiracy, The|Vic Tokai|NES-M4-USA|C
Magic Darts|Romstar|NES-4R-USA|B
Magic Johnson's Fast Break|Tradewest|NES-JF-USA|C
Magic of Scheherazade, The|Culture Brain|NES-AS-USA|C-
Magician|Taxan|NES-XD-USA|A-
Mag-Max|FCI|NES-MM-USA|C-
Major League Baseball|LJN|NES-BS-USA|E
Maniac Mansion|Jaleco|NES-JM-USA|C+
Mappy-Land|Taxan|NES-YD-USA|C+
Marble Madness|Milton Bradley|NES-MV-USA|C+
Mario Bros.|Nintendo|none|B-
Mario Bros.|Nintendo|NES-MA-USA|B-
Mario Is Missing!|Mindscape|NES-MQ-USA|B
Mario's Time Machine|Mindscape|NES-TM-USA|A-
Master Chu and the Drunkard Hu (blue)|Color Dreams|Unlicensed|B
Mechanized Attack|SNK|NES-A6-USA|C
Mega Man|Capcom|NES-MN-USA|B-
Mega Man 2|Capcom|NES-XR-USA|C
Mega Man 3|Capcom|NES-XU-USA|C
Mega Man 4|Capcom|NES-4V-USA|B-
Mega Man 5|Capcom|NES-MZ-USA|B
Mega Man 6|Nintendo|NES-G6-USA-1|B+
Menace Beach (black)|Color Dreams|Unlicensed|A-
Menace Beach (blue)|Color Dreams|Unlicensed|A-
Mendel Palace|Hudson|NES-6H-USA|B
Mermaids of Atlantis: The Riddle of the Magic Bubble (black)|American Video|Unlicensed|B+
Metal Fighter (blue)|Color Dreams|Unlicensed|B
Metal Gear|Ultra|NES-ME-USA|D
Metal Mech: Man & Machine|Jaleco|NES-J8-USA|B-
Metal Storm|Irem|NES-4M-USA|B+
Metroid|Nintendo|none|D
Metroid|Nintendo|NES-MT-USA|D
Metroid(yellow label)|Nintendo|NES-MT-USA-1|D
Michael Andretti's World GP|American Sammy|NES-W4-USA|B-
Mickey Mousecapade|Capcom|NES-MI-USA|C+
Mickey's Adventure in Numberland|Hi Tech|NES-NL-USA|B+
Mickey's Safari in Letterland|Hi Tech|none|B+
Micro Machines (silver)(triangle on label)|Camerica|Unlicensed|A-
Micro Machines (silver)|Camerica|Unlicensed|A-
Micro Machines (gold)|Camerica|Unlicensed|A-
Micro Machines (Aladdin Cart)|Camerica|Unlicensed|A+
Mig 29: Soviet Fighter (silver)|Camerica|Unlicensed|C+
Might & Magic: Secret of the Inner Sanctum|American Sammy|NES-MP-USA|B+
Mighty Bomb Jack|Tecmo|NES-BJ-USA|B
Mighty Final Fight|Capcom|NES-MF-USA|B+
Mike Tyson's Punch-Out!!|Nintendo|none|D
Mike Tyson's Punch-Out!!|Nintendo|NES-PT-USA|D
Millipede|HAL|NES-ML-USA|B
Milon's Secret Castle|Hudson|NES-KM-USA|C
Miracle Piano Teaching System, The|Mindscape|NES-9M-USA|A-
Mission: Impossible|Ultra|NES-U4-USA|C+
Mission Cobra (blue)|Bunch Games|Unlicensed|A-
Monopoly|Parker Brothers|NES-6B-USA|B-
Monster Party|Bandai|NES-P1-USA|B
Monster Truck Rally|INTV|NES-LU-USA|B
Monster in My Pocket|Konami|NES-1Y-USA|B+
Moon Ranger (black)|Bunch Games|Unlicensed|C
Moon Ranger (blue)|Bunch Games|Unlicensed|C
Motor City Patrol|Matchbox|NES-5M-USA|C+
Ms. Pac-Man|Namco|NES-M9-USA|A
Ms. Pac-Man (black)|Tengen|Unlicensed|B+
MTV Remote Control|Hi Tech|NES-H6-USA|C
Mutant Virus, The: Crisis in a Computer World|American Softworks|NES-6M-USA|B+
Mystery Quest|Taxan|NES-HQ-USA|C+
NARC|Acclaim|NES-NQ-USA|C
NES Open Tournament Golf|Nintendo|NES-UG-USA|B-
NES Play Action Football|Nintendo|NES-NB-USA|D
NES Play Action Football|Nintendo|NES-NB-CAN| -
NFL|LJN|NES-FN-USA|C
Nigel Mansell's World Championship Racing|Gametek|NES-NC-USA|B+
Nightmare on Elm Street, A|LJN|NES-ES-USA|B
Nightshade|Ultra|NES-8Y-USA|C+
Ninja Crusaders|American Sammy|NES-N4-USA|B
Ninja Gaiden|Tecmo|NES-NG-USA|E
Ninja Gaiden II: The Dark Sword of Chaos|Tecmo|NES-NW-USA|C-
Ninja Gaiden III: The Ancient Ship of Doom|Tecmo|NES-3N-USA|C+
Ninja Kid|Bandai|NES-NK-USA|C+
Nintendo World Cup|Nintendo|NES-XZ-USA|C-
Nobunaga's Ambition|Koei|NES-NZ-USA|C
Nobunaga's Ambition II|Koei|NES-NU-USA|B
North and South|Kemco|NES-N5-USA|B+
